Value,Qty,Url
THT 1N4148 Diodes,99,
Switches,99,https://www.kailh.net/products/kailh-speed-switch-set
Pico,1,
Keycaps Set,1,https://de.aliexpress.com/item/1005007924612616.html?spm=a2g0o.productlist.main.1.6702546bEf8on8&algo_pvid=38667654-184a-4a9d-84c0-011750d03eca&algo_exp_id=38667654-184a-4a9d-84c0-011750d03eca-9&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2141.27%2119.81%21%21%21297.52%21142.81%21%40212e520f17413429857041630e3a7c%2112000042867545632%21sea%21CM%216291529643%21ABX&curPageLogUid=pZki8PQQwdBy&utparam-url=scene%3Asearch%7Cquery_from%3A&gatewayAdapt=glo2deu
M3x16mm Screw,4,
M3 Heatset Inserts,4,
Durock V3 Stabs,1,https://github.com/SpeedyGo55/hackpad/tree/main/hackboards/77kineticlabs.com/misc/durock/v2-stabilizers
PCB,1,
Top Frame,1,
Plate ,1,
Bottom Frame,1,
